num_reviews,been_sale,orig_price,num_tags,num_genres,year_released,languages_filled,Activision,BANDAI NAMCO Entertainment,Capcom,Devolver Digital,Disney,Electronic Arts,Paradox Interactive,SEGA,Sokpop Collective,Square Enix,THQ Nordic,Ubisoft,Winged Cloud,other,tinyBuild,rating_val,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Casual_tag,Strategy_tag,Multiplayer_tag,RPG_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Fantasy_tag,Funny_tag,Coop_tag,Platformer_tag,Early_tag,Access_tag,Sim_tag,Indie_genre,Action_genre,Adventure_genre,Casual_genre,Simulation_genre,Strategy_genre,RPG_genre,_genre,Early_genre,Access_genre,Games_genre,Sports_genre,Racing_genre,Studios_genre,Entertainment_genre,Massively_genre,Multiplayer_genre,Studio_genre,Interactive_genre,Inc_genre,Software_genre,Game_genre,Utilities_genre,Feral_genre,Ltd_genre,Mac_genre,Design_genre,Illustration_genre,Sokpop_genre,Collective_genre
36837,0,59.99,20.0,3.0,2021,13.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15688,0,39.99,20.0,3.0,2021,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222855,0,19.99,20.0,6.0,2021,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163711,1,24.99,20.0,7.0,2013,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57126,1,29.99,20.0,2.0,2020,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26468,1,49.99,20.0,2.0,2020,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14138,1,39.99,14.0,2.0,2020,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116448,0,39.99,20.0,2.0,2020,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46305,1,59.99,20.0,2.0,2020,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
601739,0,39.99,20.0,5.0,2018,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50659,1,29.99,20.0,6.0,2018,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21452,1,39.99,20.0,3.0,2020,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258768,0,13.99,20.0,0.0,2020,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38427,0,59.99,20.0,5.0,2020,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,24.99,20.0,0.0,2020,11.225262197902417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34430,0,19.99,20.0,6.0,2015,11.225262197902417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52779,0,29.99,20.0,6.0,2020,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41073,1,29.99,20.0,3.0,2017,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
